GPST,Ax,Ay,Az,Gx,Gy,Gz
390887.429,-1.7455836999999998,-9.58109705,1.5886772999999998,0.016,0.006,0.016
390887.469,-1.61809725,-9.5124505,1.52003075,0.024,-0.045,0.01
390887.509,-1.46119085,-9.610517,1.6867437999999997,0.015,-0.015,-0.004
390887.549,-1.55925735,-9.3555441,1.6475172,-0.003,0.064,-0.03
390887.589,-1.6475172,-9.56148375,1.59848395,0.006,0.057,-0.046
390887.629,-1.765197,-9.65955025,1.5886772999999998,-0.002,0.057,-0.023
390887.669,-1.8240369,-9.502643849999998,1.57887065,-0.006,-0.019,-0.017
390887.709,-1.7357770499999998,-9.4928372,1.6965504499999997,-0.0,-0.061,-0.02
390887.749,-1.6965504499999997,-9.4536106,1.59848395,-0.005,-0.09,-0.01
390887.789,-1.569064,-9.48303055,1.61809725,-0.007,-0.121,0.0
390887.829,-1.4808041499999998,-9.54187045,1.6279039,-0.027,-0.06,-0.003
390887.869,-1.52003075,-9.502643849999998,1.55925735,-0.048,-0.038,0.004
390887.909,-1.4317708999999998,-9.5124505,1.569064,-0.034,-0.07,-0.009
390887.949,-1.3140911,-9.414383999999998,1.81423025,-0.074,0.125,-0.027
390887.989,-1.83384355,-9.38496405,1.34351105,-0.124,0.148,-0.047
390888.029,-1.83384355,-9.69877685,1.4709975,-0.095,-0.074,-0.02
390888.069,-1.6965504499999997,-9.71839015,1.55925735,-0.05,-0.044,0.043
390888.109,-1.57887065,-9.71839015,1.30428445,-0.015,-0.096,0.065
390888.148,-1.4023509499999998,-9.54187045,1.4219642499999998,-0.023,-0.132,0.046
390888.188,-1.2944778,-9.67916355,1.52003075,-0.005,-0.048,-0.008
390888.228,-1.2356379,-9.7674234,1.55925735,0.016,0.077,-0.037
390888.268,-1.2552512,-9.5124505,1.5102240999999998,0.015,0.202,-0.025
390888.308,-1.4219642499999998,-9.316317499999998,1.4808041499999998,-0.017,0.326,-0.051
390888.347,-1.6475172,-9.5320638,1.3827376499999997,-0.033,0.386,-0.072
390888.387,-1.83384355,-9.6889702,1.4121575999999998,-0.016,0.354,-0.052
390888.427,-1.8436502,-9.6497436,1.4023509499999998,0.009,0.333,-0.012
390888.467,-1.91229675,-9.6497436,1.46119085,0.024,0.255,-0.003
390888.507,-1.87307015,-9.44380395,1.4709975,0.034,0.154,-0.025
390888.547,-1.765197,-9.67916355,1.28467115,0.044,0.025,-0.011
390888.587,-1.6082906,-9.52225715,1.4219642499999998,0.04,0.016,-0.01
390888.627,-1.5494507,-9.3751574,1.36312435,0.012,0.092,-0.05
390888.667,-1.6279039,-9.60071035,1.2552512,-0.005,0.115,-0.079
390888.707,-1.46119085,-9.610517,1.6082906,-0.001,0.13,-0.078
390888.747,-1.6082906,-9.5516771,1.28467115,-0.014,0.186,-0.063
390888.787,-1.65732385,-9.5320638,1.10815145,-0.03,0.067,-0.055
390888.827,-1.52003075,-9.6889702,1.14737805,-0.027,0.038,-0.024
390888.867,-1.3827376499999997,-9.71839015,1.26505785,-0.054,0.135,-0.001
390888.907,-1.46119085,-9.3947707,1.28467115,-0.044,0.163,-0.018
390888.947,-1.44157755,-9.4928372,1.4023509499999998,-0.067,0.165,-0.048
390888.987,-1.59848395,-9.67916355,1.2160246,-0.064,0.146,-0.056
390889.027,-1.52003075,-9.7281968,1.2748645,-0.056,0.105,-0.025
390889.067,-1.5298374,-9.6693569,1.22583125,-0.016,0.095,0.006
390889.107,-1.36312435,-9.6301303,1.3827376499999997,0.004,0.17,0.004
390889.147,-1.5298374,-9.63993695,1.1866046499999998,-0.017,0.258,-0.004
390889.187,-1.61809725,-9.63993695,1.1179581,0.01,0.142,-0.04
390889.227,-1.4513842,-9.67916355,1.34351105,0.029,0.227,-0.022
390889.267,-1.67693715,-9.5320638,1.0395048999999998,-0.003,0.31,0.001
390889.307,-1.8632635,-9.414383999999998,0.91201845,-0.037,0.112,-0.051
390889.347,-1.7455836999999998,-9.4732239,1.1571847,-0.071,-0.059,-0.083
390889.388,-1.6475172,-9.56148375,1.1375714,-0.079,-0.115,-0.056
390889.427,-1.65732385,-9.65955025,1.0787315,-0.099,-0.176,-0.046
390889.467,-1.4709975,-9.6301303,1.20621795,-0.079,-0.242,-0.037
390889.507,-1.28467115,-9.590903699999998,1.372931,-0.069,-0.104,0.015
390889.547,-1.53964405,-9.7478101,0.8727918499999999,-0.044,-0.124,0.007
390889.587,-1.20621795,-9.8458766,1.01008495,0.009,-0.218,0.032
390889.627,-1.04931155,-9.67916355,1.20621795,-0.007,0.006,0.04
390889.667,-1.3827376499999997,-9.5516771,0.8727918499999999,-0.033,0.046,-0.04
390889.707,-1.4023509499999998,-9.6889702,1.08853815,-0.025,0.023,-0.077
390889.747,-1.53964405,-9.953749749999998,1.0002783,0.01,0.061,-0.027
390889.787,-1.55925735,-9.894909849999998,1.0002783,0.081,0.053,0.001
390889.827,-1.5102240999999998,-9.7478101,0.980665,0.086,0.07,0.004
390889.867,-1.5102240999999998,-9.75761675,0.97085835,0.101,0.008,-0.02
390889.907,-1.32389775,-9.54187045,1.16699135,0.108,0.015,-0.028
390889.947,-1.3533177,-9.502643849999998,1.16699135,0.102,0.069,-0.062
390889.987,-1.2748645,-9.590903699999998,1.20621795,0.09,0.066,-0.067
390890.027,-1.2748645,-9.56148375,1.3140911,0.059,0.157,-0.068
390890.067,-1.3925442999999995,-9.502643849999998,1.22583125,0.034,0.161,-0.07
390890.107,-1.372931,-9.6497436,1.3140911,0.037,0.132,-0.072
390890.147,-1.3337044,-9.65955025,1.4121575999999998,0.039,0.196,-0.053
390890.187,-1.4513842,-9.65955025,1.3827376499999997,0.03,0.261,-0.038
390890.227,-1.569064,-9.4928372,1.36312435,0.038,0.232,-0.036
390890.267,-1.569064,-9.58109705,1.3827376499999997,0.042,0.16,-0.014
390890.307,-1.569064,-9.6497436,1.34351105,0.039,0.068,0.019
390890.347,-1.63771055,-9.44380395,1.1375714,0.014,-0.045,-0.029
390890.387,-1.34351105,-9.30651085,1.1179581,-0.003,-0.236,-0.074
390890.427,-1.0787315,-9.5124505,1.14737805,-0.041,-0.202,-0.05
390890.466,-1.0395048999999998,-9.58109705,1.0395048999999998,-0.071,-0.184,-0.016
390890.506,-0.8531785499999999,-9.71839015,1.2160246,-0.088,-0.097,0.008
390890.546,-0.83356525,-9.77723005,1.26505785,-0.071,0.025,0.027
390890.586,-0.9022118,-9.894909849999998,1.2748645,-0.071,0.161,0.01
390890.626,-1.20621795,-9.5320638,1.0198915999999998,-0.069,0.119,-0.035
390890.666,-1.2160246,-9.67916355,1.08853815,-0.068,0.047,-0.074
390890.706,-1.1375714,-9.7674234,1.06892485,-0.034,0.087,-0.068
390890.746,-1.0296982499999998,-9.67916355,1.28467115,-0.035,0.265,-0.045
390890.786,-1.28467115,-9.6889702,1.0395048999999998,-0.064,0.336,-0.061
390890.826,-1.04931155,-9.63993695,1.20621795,-0.033,0.324,-0.081
390890.866,-1.16699135,-9.42419065,1.04931155,-0.047,0.415,-0.103
390890.906,-1.1866046499999998,-9.54187045,0.77472535,-0.05,0.296,-0.13
390890.946,-1.1571847,-9.7085835,0.95124505,-0.082,0.334,-0.132
390890.986,-1.32389775,-9.77723005,0.8237586,-0.125,0.355,-0.094
390891.026,-1.5494507,-9.8458766,0.77472535,-0.105,0.229,-0.052
