time,pdr_x,pdr_y
390884.272,0.0,0.0
390884.312,0.0,0.0
390884.352,0.0,0.0
390884.392,0.0,0.0
390884.432,0.0,0.0
390884.472,0.0,0.0
390884.512,0.0,0.0
390884.552,0.0,0.0
390884.592,0.0,0.0
390884.632,0.0,0.0
390884.672,0.0,0.0
390884.712,0.0,0.0
390884.752,0.0,0.0
390884.792,0.0,0.0
390884.832,0.0,0.0
390884.872,0.0,0.0
390884.912,0.0,0.0
390884.952,0.0,0.0
390884.992,0.0,0.0
390885.032,0.0,0.0
390885.072,0.0,0.0
390885.112,0.0,0.0
390885.151,0.0,0.0
390885.191,0.0,0.0
390885.231,0.0,0.0
390885.271,0.0,0.0
390885.311,0.0,0.0
390885.351,0.0,0.0
390885.391,0.0,0.0
390885.431,0.0,0.0
390885.471,0.0,0.0
390885.511,0.0,0.0
390885.551,0.0,0.0
390885.591,0.0,0.0
390885.631,0.0,0.0
390885.671,0.0,0.0
390885.711,0.0,0.0
390885.751,0.0,0.0
390885.791,0.0,0.0
390885.831,0.0,0.0
390885.871,0.0,0.0
390885.911,0.0,0.0
390885.951,0.0,0.0
390885.991,0.0,0.0
390886.031,0.0,0.0
390886.071,0.0,0.0
390886.111,0.0,0.0
390886.151,0.0,0.0
390886.19,0.0,0.0
390886.23,0.0,0.0
390886.27,0.0,0.0
390886.31,0.0,0.0
390886.35,0.0,0.0
390886.39,0.0,0.0
390886.43,0.0,0.0
390886.47,0.0,0.0
390886.51,0.0,0.0
390886.55,0.0,0.0
390886.59,0.0,0.0
390886.63,0.0,0.0
390886.67,0.0,0.0
390886.71,0.0,0.0
390886.75,0.0,0.0
390886.79,0.0,0.0
390886.83,0.0,0.0
390886.87,0.0,0.0
390886.91,0.0,0.0
390886.95,0.0,0.0
390886.99,0.0,0.0
390887.03,0.0,0.0
390887.07,0.0,0.0
390887.11,0.0,0.0
390887.15,0.0,0.0
390887.19,0.0,0.0
390887.23,0.0,0.0
390887.27,0.0,0.0
390887.309,0.0,0.0
390887.349,0.0,0.0
390887.389,0.0,0.0
390887.429,0.0,0.0
390887.469,0.0,0.0
390887.509,0.0,0.0
390887.549,0.0,0.0
390887.589,0.0,0.0
390887.629,0.0,0.0
390887.669,0.0,0.0
390887.709,0.0,0.0
390887.749,0.0,0.0
390887.789,0.0,0.0
390887.829,0.0,0.0
390887.869,0.0,0.0
390887.909,0.0,0.0
390887.949,0.0,0.0
390887.989,0.0,0.0
390888.029,0.0,0.0
390888.069,0.0,0.0
390888.109,0.0,0.0
390888.148,0.0,0.0
390888.188,0.0,0.0
